epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.001,0.90895,2.41797,1.29967,0.9291,0.72727,0.89271,0.65796,0.83963,3.08404,1.14849,0.000468525,0.000468525,0.000468525
2,201.659,0.84977,1.60724,1.23983,0.88647,0.77273,0.88786,0.63215,0.8318,2.45514,1.14833,0.00092615,0.00092615,0.00092615
3,308.099,0.89566,1.47295,1.23342,0.82338,0.86364,0.89485,0.7038,0.76123,2.05705,1.07482,0.00136491,0.00136491,0.00136491
4,409.468,0.8628,1.41952,1.21359,0.87078,0.93182,0.9207,0.74177,0.80789,1.64635,1.09445,0.00134412,0.00134412,0.00134412
5,512.33,0.87578,1.28009,1.24327,0.85277,0.93182,0.90379,0.68091,0.90758,1.66059,1.13054,0.00131582,0.00131582,0.00131582
6,619.041,0.88167,1.2045,1.24127,0.78952,0.88636,0.82207,0.6348,0.86615,1.53246,1.0929,0.00128753,0.00128753,0.00128753
7,723.373,0.82725,1.09067,1.17294,0.90882,0.90909,0.90847,0.65299,0.87012,1.26703,1.09196,0.00125923,0.00125923,0.00125923
8,825.829,0.82713,1.02118,1.19773,0.9078,0.95455,0.96663,0.80392,0.71376,1.24302,1.03714,0.00123094,0.00123094,0.00123094
9,929.794,0.77187,0.9199,1.16003,0.99515,0.95455,0.99115,0.85144,0.57841,0.82571,0.89633,0.00120265,0.00120265,0.00120265
10,1032.68,0.72891,0.85214,1.13249,0.99814,0.97727,0.99372,0.85587,0.59073,0.73603,0.88136,0.00117435,0.00117435,0.00117435
11,1140.08,0.70182,0.77457,1.11769,0.8862,0.86364,0.9339,0.75791,0.71997,1.06503,1.06451,0.00114606,0.00114606,0.00114606
12,1244.72,0.72576,0.81273,1.11287,0.97573,0.97727,0.98967,0.867,0.56197,0.69355,0.88959,0.00111776,0.00111776,0.00111776
13,1348.06,0.74314,0.77333,1.11898,0.94905,0.97727,0.98618,0.859,0.61913,0.72286,0.86644,0.00108947,0.00108947,0.00108947
14,1452.87,0.69408,0.70478,1.11588,0.89321,0.95057,0.96677,0.83273,0.58936,0.74168,0.94859,0.00106118,0.00106118,0.00106118
15,1558.42,0.70751,0.75381,1.12538,0.95958,0.90909,0.97824,0.85977,0.59923,0.7085,0.91093,0.00103288,0.00103288,0.00103288
16,1665.77,0.67399,0.63147,1.08926,0.97774,0.99832,0.99211,0.86624,0.55823,0.57636,0.85556,0.00100459,0.00100459,0.00100459
17,1772.93,0.67896,0.65665,1.0789,0.95329,1,0.99368,0.87652,0.52805,0.55606,0.82014,0.000976293,0.000976293,0.000976293
18,1878.42,0.64599,0.61472,1.05963,0.95501,1,0.99413,0.87934,0.54883,0.55559,0.85059,0.000947999,0.000947999,0.000947999
19,1991.23,0.64645,0.61603,1.06364,0.97523,0.97727,0.98851,0.87367,0.6078,0.56959,0.86932,0.000919704,0.000919704,0.000919704
20,2109.35,0.67124,0.6311,1.08538,0.97771,0.99713,0.98944,0.89711,0.52271,0.54124,0.83859,0.00089141,0.00089141,0.00089141
21,2212.69,0.61592,0.57653,1.04953,0.97628,1,0.99456,0.88611,0.51993,0.50417,0.85007,0.000863116,0.000863116,0.000863116
22,2321.13,0.58698,0.54096,1.02988,0.97176,0.97727,0.99163,0.87589,0.50635,0.53967,0.83658,0.000834822,0.000834822,0.000834822
23,2432.16,0.59159,0.56454,1.04982,0.95381,1,0.99022,0.87105,0.51538,0.52324,0.81654,0.000806528,0.000806528,0.000806528
24,2539.95,0.59947,0.54644,1.03274,0.9561,1,0.99456,0.8981,0.47277,0.43268,0.79934,0.000778233,0.000778233,0.000778233
25,2651.4,0.59988,0.53252,1.03182,0.99417,1,0.995,0.89059,0.50441,0.42104,0.7925,0.000749939,0.000749939,0.000749939
26,2756.96,0.596,0.53485,1.03112,0.99263,1,0.995,0.89788,0.49572,0.42991,0.7735,0.000721645,0.000721645,0.000721645
27,2863.76,0.58585,0.50568,1.02737,1,0.99729,0.995,0.86258,0.56884,0.48073,0.90708,0.000693351,0.000693351,0.000693351
28,2973.09,0.58132,0.52492,1.03036,0.99315,1,0.995,0.90607,0.44666,0.39184,0.76921,0.000665057,0.000665057,0.000665057
29,3075.71,0.57568,0.49049,1.01905,0.97543,1,0.99411,0.88036,0.48101,0.41969,0.78198,0.000636762,0.000636762,0.000636762
30,3182.37,0.55588,0.47744,1.03098,0.9898,1,0.995,0.89868,0.48561,0.41212,0.79255,0.000608468,0.000608468,0.000608468
31,3284.78,0.54795,0.47957,1.01216,0.95646,0.99846,0.99208,0.91678,0.44291,0.43485,0.75754,0.000580174,0.000580174,0.000580174
